AttractionId,AttractionCityId,Attraction,AttractionAddress,AttractionTypeRaw,AttractionTypeNumericId,AttractionTypeLabel,AttractionTypeBroad,AttractionCityName,AttractionCountryId,AttractionCountry,AttractionRegionId,AttractionRegion,AttractionContinentId,AttractionContinent,HistoricalVisitCount,HistoricalAverageRating
1280,3,Water Castle (Tamansari),"Jl. Taman, 55133 Indonesia",72,72,Points of Interest & Landmarks,Landmark,N'Djamena,2,Chad,1,Central Africa,1,Africa,373,3.8150134048257374
1297,3,Yogyakarta Palace,Yogyakarta,44,44,Historic Sites,Historic,N'Djamena,2,Chad,1,Central Africa,1,Africa,798,3.5388471177944862
1298,0,Ancient Temple - -,"Main Street, -, -",Temple,,Temple,Religious,Unknown,0,Unknown,0,Unknown,0,Unknown,0,4.15769884753448
1299,0,Paradise Beach - -,"Main Street, -, -",Beach,,Beach,Beach,Unknown,0,Unknown,0,Unknown,0,Unknown,0,4.15769884753448
1300,0,National Park - -,"Main Street, -, -",Park,,Park,Park,Unknown,0,Unknown,0,Unknown,0,Unknown,0,4.15769884753448
1301,0,Cultural Heritage Center - -,"Main Street, -, -",Museum,,Museum,Museum,Unknown,0,Unknown,0,Unknown,0,Unknown,0,4.15769884753448
1302,2,Art Gallery - South Region,"Main Street, South Region, Cameroon",Museum,,Museum,Museum,South Region,1,Cameroon,1,Central Africa,1,Africa,0,4.15769884753448
1303,2,Farmers' Market - South Region,"Main Street, South Region, Cameroon",Market,,Market,Market,South Region,1,Cameroon,1,Central Africa,1,Africa,0,4.15769884753448
1304,2,Night Market - South Region,"Main Street, South Region, Cameroon",Market,,Market,Market,South Region,1,Cameroon,1,Central Africa,1,Africa,0,4.15769884753448
1305,2,Cathedral - South Region,"Main Street, South Region, Cameroon",Temple,,Temple,Religious,South Region,1,Cameroon,1,Central Africa,1,Africa,0,4.15769884753448
1306,1,Eco Park - Douala,"Main Street, Douala, Cameroon",Park,,Park,Park,Douala,1,Cameroon,1,Central Africa,1,Africa,0,4.15769884753448
1307,1,Art Gallery - Douala,"Main Street, Douala, Cameroon",Museum,,Museum,Museum,Douala,1,Cameroon,1,Central Africa,1,Africa,0,4.15769884753448
1308,1,Paradise Beach - Douala,"Main Street, Douala, Cameroon",Beach,,Beach,Beach,Douala,1,Cameroon,1,Central Africa,1,Africa,0,4.15769884753448
1309,1,Sacred Shrine - Douala,"Main Street, Douala, Cameroon",Temple,,Temple,Religious,Douala,1,Cameroon,1,Central Africa,1,Africa,0,4.15769884753448
1310,3,Crystal Bay - N'Djamena,"Main Street, N'Djamena, Chad",Beach,,Beach,Beach,N'Djamena,2,Chad,1,Central Africa,1,Africa,0,4.15769884753448
1311,3,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",Market,,Market,Market,N'Djamena,2,Chad,1,Central Africa,1,Africa,0,4.15769884753448
1312,3,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad",Museum,,Museum,Museum,N'Djamena,2,Chad,1,Central Africa,1,Africa,0,4.15769884753448
1313,3,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",Market,,Market,Market,N'Djamena,2,Chad,1,Central Africa,1,Africa,0,4.15769884753448
1314,5,National Park - Kigali Province,"Main Street, Kigali Province, Rwanda",Park,,Park,Park,Kigali Province,3,Rwanda,1,Central Africa,1,Africa,0,4.15769884753448
1315,5,Crystal Bay - Kigali Province,"Main Street, Kigali Province, Rwanda",Beach,,Beach,Beach,Kigali Province,3,Rwanda,1,Central Africa,1,Africa,0,4.15769884753448
1316,5,Science Museum - Kigali Province,"Main Street, Kigali Province, Rwanda",Museum,,Museum,Museum,Kigali Province,3,Rwanda,1,Central Africa,1,Africa,0,4.15769884753448
1317,5,Cathedral - Kigali Province,"Main Street, Kigali Province, Rwanda",Temple,,Temple,Religious,Kigali Province,3,Rwanda,1,Central Africa,1,Africa,0,4.15769884753448
1318,4,Golden Sand Beach - Kigali,"Main Street, Kigali, Rwanda",Beach,,Beach,Beach,Kigali,3,Rwanda,1,Central Africa,1,Africa,0,4.15769884753448
1319,4,Grand Mosque - Kigali,"Main Street, Kigali, Rwanda",Temple,,Temple,Religious,Kigali,3,Rwanda,1,Central Africa,1,Africa,0,4.15769884753448
1320,4,Local Bazaar - Kigali,"Main Street, Kigali, Rwanda",Market,,Market,Market,Kigali,3,Rwanda,1,Central Africa,1,Africa,0,4.15769884753448
1321,4,Cultural Heritage Center - Kigali,"Main Street, Kigali, Rwanda",Museum,,Museum,Museum,Kigali,3,Rwanda,1,Central Africa,1,Africa,0,4.15769884753448
1322,6,Sunset Cove - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",Beach,,Beach,Beach,Addis Ababa,4,Ethiopia,2,East Africa,1,Africa,0,4.15769884753448
1323,6,National Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",Park,,Park,Park,Addis Ababa,4,Ethiopia,2,East Africa,1,Africa,0,4.15769884753448
1324,6,Farmers' Market - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",Market,,Market,Market,Addis Ababa,4,Ethiopia,2,East Africa,1,Africa,0,4.15769884753448
1325,6,Eco Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",Park,,Park,Park,Addis Ababa,4,Ethiopia,2,East Africa,1,Africa,0,4.15769884753448
1326,7,Ancient Temple - Karen,"Main Street, Karen, Kenya",Temple,,Temple,Religious,Karen,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1327,7,National Park - Karen,"Main Street, Karen, Kenya",Park,,Park,Park,Karen,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1328,7,Cathedral - Karen,"Main Street, Karen, Kenya",Temple,,Temple,Religious,Karen,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1329,7,Golden Sand Beach - Karen,"Main Street, Karen, Kenya",Beach,,Beach,Beach,Karen,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1330,8,Cathedral - Kenya,"Main Street, Kenya, Kenya",Temple,,Temple,Religious,Kenya,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1331,8,Cultural Heritage Center - Kenya,"Main Street, Kenya, Kenya",Museum,,Museum,Museum,Kenya,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1332,8,Crystal Bay - Kenya,"Main Street, Kenya, Kenya",Beach,,Beach,Beach,Kenya,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1333,8,Grand Mosque - Kenya,"Main Street, Kenya, Kenya",Temple,,Temple,Religious,Kenya,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1334,12,Sacred Shrine - Shimoni,"Main Street, Shimoni, Kenya",Temple,,Temple,Religious,Shimoni,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1335,12,Ancient Temple - Shimoni,"Main Street, Shimoni, Kenya",Temple,,Temple,Religious,Shimoni,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1336,12,Cathedral - Shimoni,"Main Street, Shimoni, Kenya",Temple,,Temple,Religious,Shimoni,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1337,12,History Museum - Shimoni,"Main Street, Shimoni, Kenya",Museum,,Museum,Museum,Shimoni,5,Kenya,2,East Africa,1,Africa,0,4.15769884753448
1338,18,Local Bazaar - Mauritius,"Main Street, Mauritius, Mauritius",Market,,Market,Market,Mauritius,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1339,18,National Park - Mauritius,"Main Street, Mauritius, Mauritius",Park,,Park,Park,Mauritius,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1340,18,Night Market - Mauritius,"Main Street, Mauritius, Mauritius",Market,,Market,Market,Mauritius,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1341,18,Paradise Beach - Mauritius,"Main Street, Mauritius, Mauritius",Beach,,Beach,Beach,Mauritius,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1342,13,Farmers' Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius",Market,,Market,Market,Bel Ombre,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1343,13,History Museum - Bel Ombre,"Main Street, Bel Ombre, Mauritius",Museum,,Museum,Museum,Bel Ombre,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1344,13,Flea Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius",Market,,Market,Market,Bel Ombre,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1345,13,Grand Mosque - Bel Ombre,"Main Street, Bel Ombre, Mauritius",Temple,,Temple,Religious,Bel Ombre,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1346,22,History Museum - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",Museum,,Museum,Museum,Quatre Bornes,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1347,22,Sacred Shrine - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",Temple,,Temple,Religious,Quatre Bornes,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1348,22,Golden Sand Beach - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",Beach,,Beach,Beach,Quatre Bornes,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1349,22,Sunset Cove - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",Beach,,Beach,Beach,Quatre Bornes,6,Mauritius,2,East Africa,1,Africa,0,4.15769884753448
1350,24,Farmers' Market - Cerf Island,"Main Street, Cerf Island, Seychelles",Market,,Market,Market,Cerf Island,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1351,24,Local Bazaar - Cerf Island,"Main Street, Cerf Island, Seychelles",Market,,Market,Market,Cerf Island,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1352,24,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles",Temple,,Temple,Religious,Cerf Island,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1353,24,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles",Temple,,Temple,Religious,Cerf Island,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1354,25,Night Market - Mahe Island,"Main Street, Mahe Island, Seychelles",Market,,Market,Market,Mahe Island,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1355,25,Cathedral - Mahe Island,"Main Street, Mahe Island, Seychelles",Temple,,Temple,Religious,Mahe Island,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1356,25,History Museum - Mahe Island,"Main Street, Mahe Island, Seychelles",Museum,,Museum,Museum,Mahe Island,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1357,25,Sacred Shrine - Mahe Island,"Main Street, Mahe Island, Seychelles",Temple,,Temple,Religious,Mahe Island,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1358,26,Botanical Garden - Victoria,"Main Street, Victoria, Seychelles",Park,,Park,Park,Victoria,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1359,26,Sunset Cove - Victoria,"Main Street, Victoria, Seychelles",Beach,,Beach,Beach,Victoria,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1360,26,Cultural Heritage Center - Victoria,"Main Street, Victoria, Seychelles",Museum,,Museum,Museum,Victoria,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1361,26,Science Museum - Victoria,"Main Street, Victoria, Seychelles",Museum,,Museum,Museum,Victoria,7,Seychelles,2,East Africa,1,Africa,0,4.15769884753448
1362,28,Night Market - Port Sudan,"Main Street, Port Sudan, Sudan",Market,,Market,Market,Port Sudan,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1363,28,Farmers' Market - Port Sudan,"Main Street, Port Sudan, Sudan",Market,,Market,Market,Port Sudan,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1364,28,Science Museum - Port Sudan,"Main Street, Port Sudan, Sudan",Museum,,Museum,Museum,Port Sudan,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1365,28,Sunset Cove - Port Sudan,"Main Street, Port Sudan, Sudan",Beach,,Beach,Beach,Port Sudan,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1366,30,Farmers' Market - Sudan,"Main Street, Sudan, Sudan",Market,,Market,Market,Sudan,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1367,30,Botanical Garden - Sudan,"Main Street, Sudan, Sudan",Park,,Park,Park,Sudan,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1368,30,History Museum - Sudan,"Main Street, Sudan, Sudan",Museum,,Museum,Museum,Sudan,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1369,30,Golden Sand Beach - Sudan,"Main Street, Sudan, Sudan",Beach,,Beach,Beach,Sudan,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1370,27,Golden Sand Beach - Khartoum,"Main Street, Khartoum, Sudan",Beach,,Beach,Beach,Khartoum,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1371,27,Botanical Garden - Khartoum,"Main Street, Khartoum, Sudan",Park,,Park,Park,Khartoum,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1372,27,Paradise Beach - Khartoum,"Main Street, Khartoum, Sudan",Beach,,Beach,Beach,Khartoum,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1373,27,Eco Park - Khartoum,"Main Street, Khartoum, Sudan",Park,,Park,Park,Khartoum,8,Sudan,2,East Africa,1,Africa,0,4.15769884753448
1374,31,Night Market - Arusha,"Main Street, Arusha, Tanzania",Market,,Market,Market,Arusha,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1375,31,Flea Market - Arusha,"Main Street, Arusha, Tanzania",Market,,Market,Market,Arusha,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1376,31,Farmers' Market - Arusha,"Main Street, Arusha, Tanzania",Market,,Market,Market,Arusha,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1377,31,Night Market - Arusha,"Main Street, Arusha, Tanzania",Market,,Market,Market,Arusha,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1378,32,Golden Sand Beach - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",Beach,,Beach,Beach,Dar es Salaam,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1379,32,Cathedral - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",Temple,,Temple,Religious,Dar es Salaam,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1380,32,National Park - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",Park,,Park,Park,Dar es Salaam,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1381,32,Crystal Bay - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",Beach,,Beach,Beach,Dar es Salaam,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1382,36,Wildlife Reserve - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",Park,,Park,Park,Zanzibar Island,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1383,36,Flea Market - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",Market,,Market,Market,Zanzibar Island,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1384,36,Crystal Bay - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",Beach,,Beach,Beach,Zanzibar Island,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1385,36,Golden Sand Beach - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",Beach,,Beach,Beach,Zanzibar Island,9,Tanzania,2,East Africa,1,Africa,0,4.15769884753448
1386,37,Sacred Shrine - Kampala,"Main Street, Kampala, Uganda",Temple,,Temple,Religious,Kampala,10,Uganda,2,East Africa,1,Africa,0,4.15769884753448
1387,37,Grand Mosque - Kampala,"Main Street, Kampala, Uganda",Temple,,Temple,Religious,Kampala,10,Uganda,2,East Africa,1,Africa,0,4.15769884753448
1388,37,Botanical Garden - Kampala,"Main Street, Kampala, Uganda",Park,,Park,Park,Kampala,10,Uganda,2,East Africa,1,Africa,0,4.15769884753448
1389,37,Crystal Bay - Kampala,"Main Street, Kampala, Uganda",Beach,,Beach,Beach,Kampala,10,Uganda,2,East Africa,1,Africa,0,4.15769884753448
1390,39,Sunset Cove - Lusaka,"Main Street, Lusaka, Zambia",Beach,,Beach,Beach,Lusaka,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1391,39,Cultural Heritage Center - Lusaka,"Main Street, Lusaka, Zambia",Museum,,Museum,Museum,Lusaka,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1392,39,Art Gallery - Lusaka,"Main Street, Lusaka, Zambia",Museum,,Museum,Museum,Lusaka,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1393,39,Ancient Temple - Lusaka,"Main Street, Lusaka, Zambia",Temple,,Temple,Religious,Lusaka,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1394,42,History Museum - Victoria Falls,"Main Street, Victoria Falls, Zambia",Museum,,Museum,Museum,Victoria Falls,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1395,42,Golden Sand Beach - Victoria Falls,"Main Street, Victoria Falls, Zambia",Beach,,Beach,Beach,Victoria Falls,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1396,42,Cultural Heritage Center - Victoria Falls,"Main Street, Victoria Falls, Zambia",Museum,,Museum,Museum,Victoria Falls,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1397,42,National Park - Victoria Falls,"Main Street, Victoria Falls, Zambia",Park,,Park,Park,Victoria Falls,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1398,40,Flea Market - Solwezi,"Main Street, Solwezi, Zambia",Market,,Market,Market,Solwezi,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1399,40,Grand Mosque - Solwezi,"Main Street, Solwezi, Zambia",Temple,,Temple,Religious,Solwezi,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1400,40,Science Museum - Solwezi,"Main Street, Solwezi, Zambia",Museum,,Museum,Museum,Solwezi,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1401,40,Eco Park - Solwezi,"Main Street, Solwezi, Zambia",Park,,Park,Park,Solwezi,11,Zambia,2,East Africa,1,Africa,0,4.15769884753448
1402,43,Local Bazaar - Harare,"Main Street, Harare, Zimbabwe",Market,,Market,Market,Harare,12,Zimbabwe,2,East Africa,1,Africa,0,4.15769884753448
1403,43,Golden Sand Beach - Harare,"Main Street, Harare, Zimbabwe",Beach,,Beach,Beach,Harare,12,Zimbabwe,2,East Africa,1,Africa,0,4.15769884753448
1404,43,Science Museum - Harare,"Main Street, Harare, Zimbabwe",Museum,,Museum,Museum,Harare,12,Zimbabwe,2,East Africa,1,Africa,0,4.15769884753448
1405,43,History Museum - Harare,"Main Street, Harare, Zimbabwe",Museum,,Museum,Museum,Harare,12,Zimbabwe,2,East Africa,1,Africa,0,4.15769884753448
1406,45,Paradise Beach - Algiers,"Main Street, Algiers, Algeria",Beach,,Beach,Beach,Algiers,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1407,45,Crystal Bay - Algiers,"Main Street, Algiers, Algeria",Beach,,Beach,Beach,Algiers,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1408,45,Flea Market - Algiers,"Main Street, Algiers, Algeria",Market,,Market,Market,Algiers,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1409,45,Ancient Temple - Algiers,"Main Street, Algiers, Algeria",Temple,,Temple,Religious,Algiers,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1410,47,Eco Park - Oran,"Main Street, Oran, Algeria",Park,,Park,Park,Oran,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1411,47,Golden Sand Beach - Oran,"Main Street, Oran, Algeria",Beach,,Beach,Beach,Oran,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1412,47,Cultural Heritage Center - Oran,"Main Street, Oran, Algeria",Museum,,Museum,Museum,Oran,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1413,47,Farmers' Market - Oran,"Main Street, Oran, Algeria",Market,,Market,Market,Oran,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1414,44,Art Gallery - Alger,"Main Street, Alger, Algeria",Museum,,Museum,Museum,Alger,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1415,44,Night Market - Alger,"Main Street, Alger, Algeria",Market,,Market,Market,Alger,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1416,44,Night Market - Alger,"Main Street, Alger, Algeria",Market,,Market,Market,Alger,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1417,44,Botanical Garden - Alger,"Main Street, Alger, Algeria",Park,,Park,Park,Alger,13,Algeria,3,North Africa,1,Africa,0,4.15769884753448
1418,48,Cathedral - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",Temple,,Temple,Religious,Ad Duqqi,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1419,48,Sacred Shrine - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",Temple,,Temple,Religious,Ad Duqqi,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1420,48,Paradise Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",Beach,,Beach,Beach,Ad Duqqi,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1421,48,Golden Sand Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",Beach,,Beach,Beach,Ad Duqqi,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1422,49,Ancient Temple - Al Rehab,"Main Street, Al Rehab, Egypt",Temple,,Temple,Religious,Al Rehab,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1423,49,Flea Market - Al Rehab,"Main Street, Al Rehab, Egypt",Market,,Market,Market,Al Rehab,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1424,49,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt",Park,,Park,Park,Al Rehab,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1425,49,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt",Park,,Park,Park,Al Rehab,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1426,56,Flea Market - El Alamein,"Main Street, El Alamein, Egypt",Market,,Market,Market,El Alamein,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
1427,56,Local Bazaar - El Alamein,"Main Street, El Alamein, Egypt",Market,,Market,Market,El Alamein,14,Egypt,3,North Africa,1,Africa,0,4.15769884753448
